,Symbol,Company,Owner,Relationship,Date,Cost,# Shares,Value ($),Total Shares,Filing
40,AXSM,"Axsome Therapeutics, Inc.",Coleman Mark,Director,"Sep 15, 2023",$75.19,11016,828241,25097,"Sep 15, 2023, 06:30 PM"
41,AXSM,"Axsome Therapeutics, Inc.",Coleman Mark,Director,"Sep 15, 2023",$75.18,18572,1396189,403856,"Sep 15, 2023, 06:30 PM"
42,FTCI,"FTC Solar, Inc.",ARC Family Trust,10% Owner,"Sep 14, 2023",$1.40,50000,70000,11890857,"Sep 15, 2023, 06:30 PM"
43,AGO,ASSURED GUARANTY LTD,FREDERICO DOMINIC,President/CEO/Deputy Chairman,"Sep 13, 2023",$61.13,29977,1832494,1371016,"Sep 15, 2023, 06:29 PM"
44,AGO,ASSURED GUARANTY LTD,FREDERICO DOMINIC,President/CEO/Deputy Chairman,"Sep 14, 2023",$61.35,20023,1228411,1350993,"Sep 15, 2023, 06:29 PM"
45,AMBA,AMBARELLA INC,Schwarting Elizabeth M,Director,"Sep 14, 2023",$58.57,777,45509,7208,"Sep 15, 2023, 06:14 PM"
46,ZM,"Zoom Video Communications, Inc.",Steckelberg Kelly,Chief Financial Officer,"Sep 13, 2023",$69.51,10960,761793,500,"Sep 15, 2023, 06:06 PM"
47,WYNN,WYNN RESORTS LTD,Mulroy Patricia,Director,"Sep 14, 2023",$97.61,500,48805,1482,"Sep 15, 2023, 06:06 PM"
48,BLNK,Blink Charging Co.,FARKAS MICHAEL D,Former Director Chairman & CEO,"Sep 14, 2023",$3.61,26000,93860,2838616,"Sep 15, 2023, 06:04 PM"
49,BLNK,Blink Charging Co.,FARKAS MICHAEL D,Former Director Chairman & CEO,"Sep 15, 2023",$3.93,26000,102258,2812616,"Sep 15, 2023, 06:04 PM"
50,ESAB,ESAB Corp,Biebuyck Olivier,"President, Fab Tech","Sep 13, 2023",$68.98,460,31731,6441,"Sep 15, 2023, 06:00 PM"
51,FLUX,"Flux Power Holdings, Inc.",Johnson Michael,Director,"Sep 14, 2023",$4.10,32,131,4380426,"Sep 15, 2023, 05:58 PM"
52,FLUX,"Flux Power Holdings, Inc.",Johnson Michael,Director,"Sep 15, 2023",$4.10,489,2005,4379937,"Sep 15, 2023, 05:58 PM"
53,FLUX,"Flux Power Holdings, Inc.",Johnson Michael,Director,"Sep 13, 2023",$4.05,9602,38888,4380458,"Sep 15, 2023, 05:58 PM"
54,BRP,"BRP Group, Inc.",Sherman Laura,Member of 10% owner group,"Sep 13, 2023",$26.14,30000,784332,24695,"Sep 15, 2023, 05:47 PM"
55,BRP,"BRP Group, Inc.",Sherman Laura,Member of 10% owner group,"Sep 14, 2023",$26.37,24695,651094,0,"Sep 15, 2023, 05:47 PM"
56,SPRO,"Spero Therapeutics, Inc.",HAMED KAMAL,Chief Medical Officer,"Sep 13, 2023",$1.27,39496,50160,576461,"Sep 15, 2023, 05:47 PM"
57,GO,Grocery Outlet Holding Corp.,Herman Thomas F,Director,"Sep 15, 2023",$30.07,2000,60140,19400,"Sep 15, 2023, 05:44 PM"
58,ANTX,"AN2 Therapeutics, Inc.",Aziz Kabeer,Director,"Sep 13, 2023",$16.00,64,1024,411893,"Sep 15, 2023, 05:40 PM"
59,ANTX,"AN2 Therapeutics, Inc.",Aziz Kabeer,Director,"Sep 13, 2023",$16.00,336,5376,2177547,"Sep 15, 2023, 05:40 PM"
60,KDP,Keurig Dr Pepper Inc.,Archambault Matthew Andrew,"President, Commercial","Sep 15, 2023",$33.61,40000,1344400,16800,"Sep 15, 2023, 05:39 PM"
61,BWMN,Bowman Consulting Group Ltd.,Bruen Michael,Chief Operating Officer,"Sep 13, 2023",$26.67,5000,133350,436523,"Sep 15, 2023, 05:38 PM"
62,CNMD,CONMED Corp,Peters Stanley W III,President AS and AET,"Sep 13, 2023",$107.31,2000,214629,63,"Sep 15, 2023, 05:38 PM"
63,BEAT,"HeartBeam, Inc.",de Urioste George,Director,"Sep 13, 2023",$1.93,5000,9656,77230,"Sep 15, 2023, 05:36 PM"
64,BEAT,"HeartBeam, Inc.",de Urioste George,Director,"Sep 14, 2023",$2.17,5000,10850,69108,"Sep 15, 2023, 05:36 PM"
65,BBCP,"Concrete Pumping Holdings, Inc.",Young Bruce F.,Chief Executive Officer,"Sep 13, 2023",$8.39,1850,15522,2310972,"Sep 15, 2023, 05:32 PM"
66,BBCP,"Concrete Pumping Holdings, Inc.",Young Bruce F.,Chief Executive Officer,"Sep 14, 2023",$8.15,21534,175502,2289438,"Sep 15, 2023, 05:32 PM"
